id,module,item_type,key,name,http_method,api_path,roles,scope,primary_tables,notes
58,refunds,API,refunds.detail,Get refund detail,GET,/api/refunds/:refundId,superAdmin|admin|user,shop_or_global,refunds|refund_items|transaction_items|product_variants,
59,customers,API,customers.list,Get customers,GET,/api/customers,superAdmin|admin,global,customers,Phase 2
60,customers,API,customers.create,Create customer,POST,/api/customers,superAdmin|admin,global,customers,Phase 2
61,customers,API,customers.detail,Get customer detail,GET,/api/customers/:customerId,superAdmin|admin,global,customers|transactions,Phase 2
62,customers,API,customers.update,Update customer,PATCH,/api/customers/:customerId,superAdmin|admin,global,customers,Phase 2
63,customers,API,customers.delete,Delete customer,DELETE,/api/customers/:customerId,superAdmin|admin,global,customers,Phase 2
64,customers,API,customers.transactions,Get customer transaction history,GET,/api/customers/:customerId/transactions,superAdmin|admin,global,customers|transactions|transaction_items,Phase 2
65,reports,API,reports.request.transactions,Request transaction report,POST,/api/reports/transactions,superAdmin|admin,shop_or_global,transactions|transaction_items|shops|users,Sinkronus — langsung return file PDF atau XLS
66,reports,API,reports.request.products,Request product report,POST,/api/reports/products,superAdmin|admin,shop_or_global,products|product_variants|categories,Sinkronus — langsung return file PDF atau XLS
67,reports,API,reports.request.inventory,Request inventory report,POST,/api/reports/inventory,superAdmin|admin,shop_or_global,inventory|products|product_variants|shops,Sinkronus — langsung return file PDF atau XLS
68,reports,API,reports.request.stockMovements,Request stock movement report,POST,/api/reports/stock-movements,superAdmin|admin,shop_or_global,stock_movements|products|product_variants|shops|users,Sinkronus — langsung return file PDF atau XLS
69,ai_chat,API,ai_chat.listSessions,Get AI chat sessions,GET,/api/ai/chat/sessions,superAdmin|admin,shop_or_global,ai_chat_sessions|users|shops,
70,ai_chat,API,ai_chat.sendMessage,Send AI chat message,POST,/api/ai/chat/messages,superAdmin|admin,shop_or_global,ai_chat_sessions|ai_chat_messages|users|shops,Buat session baru jika belum ada
71,ai_chat,API,ai_chat.getHistory,Get AI chat history,GET,/api/ai/chat/sessions/:sessionId/messages,superAdmin|admin,shop_or_global,ai_chat_sessions|ai_chat_messages,
72,ai_chat,API,ai_chat.clearSession,Clear AI chat session,DELETE,/api/ai/chat/sessions/:sessionId,superAdmin|admin,shop_or_global,ai_chat_sessions|ai_chat_messages,Hapus semua pesan dalam sesi ini
73,ai_insights,API,ai_insights.generate.daily,Generate daily insight,POST,/api/ai/insights/generate/daily,superAdmin|admin,shop_or_global,ai_insights|transactions|inventory|notifications|shops,Dipanggil scheduler — bisa juga manual
74,ai_insights,API,ai_insights.generate.weekly,Generate weekly insight,POST,/api/ai/insights/generate/weekly,superAdmin|admin,shop_or_global,ai_insights|transactions|inventory|notifications|shops,
75,ai_insights,API,ai_insights.generate.monthly,Generate monthly insight,POST,/api/ai/insights/generate/monthly,superAdmin|admin,shop_or_global,ai_insights|transactions|inventory|notifications|shops,
76,ai_insights,API,ai_insights.generate.yearly,Generate yearly insight,POST,/api/ai/insights/generate/yearly,superAdmin|admin,shop_or_global,ai_insights|transactions|inventory|notifications|shops,
77,ai_insights,API,ai_insights.list,Get insights list,GET,/api/ai/insights,superAdmin|admin,shop_or_global,ai_insights|shops,
78,ai_insights,API,ai_insights.detail,Get insight detail,GET,/api/ai/insights/:insightId,superAdmin|admin,shop_or_global,ai_insights,
79,notifications,API,notifications.list,Get notifications,GET,/api/notifications,superAdmin|admin|user,global,notifications|users|shops,
80,notifications,API,notifications.unreadCount,Get unread notification count,GET,/api/notifications/unread-count,superAdmin|admin|user,global,notifications,Untuk badge di UI
81,notifications,API,notifications.markRead,Mark notification read/unread,PATCH,/api/notifications/:notificationId/read,superAdmin|admin|user,global,notifications,
82,notifications,API,notifications.markAllRead,Mark all notifications as read,PATCH,/api/notifications/read-all,superAdmin|admin|user,global,notifications,
83,notifications,API,notifications.delete,Delete notification,DELETE,/api/notifications/:notificationId,superAdmin|admin|user,global,notifications,
84,audit,API,audit.list,Get audit logs,GET,/api/audit-logs,superAdmin|admin,shop_or_global,audit_logs|users|shops,
85,health,API,health.check,Health check,GET,/,public,global,,
86,meta,API,meta.enums,Get reference enums,GET,/api/meta/enums,superAdmin|admin|user,global,,Return semua enum values yang dipakai frontend
