"id","module","item_type","key","name","http_method","api_path","roles","scope","primary_tables","depends_on","notes"
"55","products","FUNCTION","products.delete","Delete product and variant policy handling","","","","products|product_variants","","",
"57","inventory","FUNCTION","inventory.list","List inventory by shop/scope","","","","inventory|product_variants|products|shops","","",
"59","inventory","FUNCTION","inventory.byProduct","Get stock per product/variant","","","","inventory|product_variants|products|shops","","",
"61","inventory","FUNCTION","inventory.restock","Stock in and recalculate avg cost","","","","inventory|stock_movements","","stock_movements","type=restock"
"63","inventory","FUNCTION","inventory.adjustOut","Manual stock out adjustment","","","","inventory|stock_movements","","stock_movements","type=adjustment"
"65","inventory","FUNCTION","inventory.setThreshold","Set low stock threshold","","","","inventory","","",
"67","inventory","FUNCTION","inventory.movementHistory","List stock movement history with filters","","","","stock_movements|products|product_variants|shops|users","","",
"69","transfers","FUNCTION","transfers.createRequest","Create transfer request and reserve source stock","","","","transfers|transfer_items|inventory|stock_movements","","status=pending",
"71","transfers","FUNCTION","transfers.listOutgoing","List outgoing transfers","","","","transfers|transfer_items|shops|users","","",
"73","transfers","FUNCTION","transfers.listIncoming","List incoming transfers","","","","transfers|transfer_items|shops|users","","",
"75","transfers","FUNCTION","transfers.detail","Get transfer detail","","","","transfers|transfer_items|shops|users","","",
"77","transfers","FUNCTION","transfers.approve","Approve transfer and post stock movements","","","","transfers|transfer_items|inventory|stock_movements","","status=approved",
"79","transfers","FUNCTION","transfers.reject","Reject transfer and release reserved stock","","","","transfers|transfer_items|inventory","","status=rejected",
"81","transfers","FUNCTION","transfers.cancel","Cancel pending transfer and release reserved stock","","","","transfers|transfer_items|inventory","","status=cancelled",
"83","transactions","FUNCTION","transactions.create","Create transaction draft with items and snapshots","","","","transactions|transaction_items|inventory|stock_movements","","status=pending",
"85","transactions","FUNCTION","transactions.updateStatus","Update transaction status and paid_at consistency","","","","transactions|inventory|stock_movements","","pending->completed/cancelled",
"87","transactions","FUNCTION","transactions.list","List transactions with filters","","","","transactions|transaction_items|shops|users|customers","","",
"89","transactions","FUNCTION","transactions.today","Get today transactions in scope","","","","transactions|transaction_items|users|shops","","",
"91","transactions","FUNCTION","transactions.recent","Get recent transactions for current user","","","","transactions|transaction_items|users|shops","","",
"93","transactions","FUNCTION","transactions.detail","Get transaction detail","","","","transactions|transaction_items|products|product_variants|customers","","",
"95","transactions","FUNCTION","transactions.printReceiptData","Build receipt payload for printing","","","","transactions|transaction_items|shops|users|customers","","",
"97","refunds","FUNCTION","refunds.create","Create refund request with item validation","","","","refunds|refund_items|transaction_items|transactions","","status=pending",
"99","refunds","FUNCTION","refunds.updateStatus","Approve/reject refund and restock on approved","","","","refunds|refund_items|inventory|stock_movements","","approved creates stock_movements type=refund",
"101","refunds","FUNCTION","refunds.list","List refund history","","","","refunds|refund_items|transactions|users","","",
"103","customers","FUNCTION","customers.list","List customers","","","","customers","","Phase 2 optional",
"105","customers","FUNCTION","customers.create","Create customer","","","","customers","","Phase 2 optional",
"107","customers","FUNCTION","customers.detail","Get customer detail","","","","customers|transactions","","Phase 2 optional",
"109","customers","FUNCTION","customers.update","Update customer","","","","customers","","Phase 2 optional",
"111","customers","FUNCTION","customers.delete","Delete customer","","","","customers","","Phase 2 optional",
"113","customers","FUNCTION","customers.transactionHistory","Get customer transaction history","","","","customers|transactions|transaction_items","","Phase 2 optional",
"115","dashboard","FUNCTION","dashboard.overview","Compute overview analytics","","","","transactions|transaction_items|products|shops","","revenue|transactions|top_product",
"117","dashboard","FUNCTION","dashboard.salesChart","Build sales chart series daily/monthly","","","","transactions|shops","","",
"119","dashboard","FUNCTION","dashboard.revenueByPayment","Aggregate revenue by payment method","","","","transactions|shops","","",
"121","dashboard","FUNCTION","dashboard.revenueByCategory","Aggregate revenue by product category","","","","transactions|transaction_items|products|categories|shops","","",
"123","reports","FUNCTION","reports.requestTransactionReport","Create transaction report job (PDF/CSV) and return job id","","","","transactions|transaction_items|shops|users","","Async generate per confirmation",
"125","reports","FUNCTION","reports.requestProductReport","Create product report job (CSV) and return job id","","","","products|product_variants|categories","","Async generate per confirmation",
"127","reports","FUNCTION","reports.requestInventoryReport","Create inventory report job (CSV) and return job id","","","","inventory|products|product_variants|shops","","Async generate per confirmation",
"129","reports","FUNCTION","reports.requestStockMovementReport","Create stock movement report job (CSV) and return job id","","","","stock_movements|products|product_variants|shops|users","","Async generate per confirmation",
"131","reports","FUNCTION","reports.getJobStatus","Get report job status/result URL","","","","","","storage_or_queue",""
"133","ai_chat","FUNCTION","ai_chat.sendMessage","Process chat message and persist session/messages","","","","ai_chat_sessions|ai_chat_messages|users|shops","","Allowed roles: superAdmin|admin",
"135","ai_chat","FUNCTION","ai_chat.getHistory","Get chat history by session/user scope","","","","ai_chat_sessions|ai_chat_messages|users|shops","","",
"137","ai_chat","FUNCTION","ai_chat.clearSession","Soft delete/clear chat session","","","","ai_chat_sessions|ai_chat_messages","","",
"139","ai_chat","FUNCTION","ai_chat.listSessions","List chat sessions by user/scope","","","","ai_chat_sessions|users|shops","","",
"141","ai_insights","FUNCTION","ai_insights.generateDaily","Generate daily insight and notifications","","","","ai_insights|transactions|inventory|notifications|users|shops","","Scheduled",
"143","ai_insights","FUNCTION","ai_insights.generateWeekly","Generate weekly insight and notifications","","","","ai_insights|transactions|inventory|notifications|users|shops","","Scheduled",
"145","ai_insights","FUNCTION","ai_insights.generateMonthly","Generate monthly insight and notifications","","","","ai_insights|transactions|inventory|notifications|users|shops","","Scheduled",
"147","ai_insights","FUNCTION","ai_insights.generateYearly","Generate yearly insight and notifications","","","","ai_insights|transactions|inventory|notifications|users|shops","","Scheduled/on-demand",
"149","ai_insights","FUNCTION","ai_insights.list","List insights with filters period/shop","","","","ai_insights|shops","","",
"151","notifications","FUNCTION","notifications.list","List notifications by user","","","","notifications|users|shops","","",
"153","notifications","FUNCTION","notifications.markRead","Mark notification as read/unread","","","","notifications","","",
"155","notifications","FUNCTION","notifications.delete","Delete notification","","","","notifications","","",
"157","audit","FUNCTION","audit.list","List audit logs with filters","","","","audit_logs|users|shops","","",
